provider_name,scraping_month,prix_moyen_kwh_base
Alpiq,2026-06-01,0.18130000000000004
Alpiq,2026-05-01,0.18130000000000007
Alpiq,2026-04-01,0.18129999999999996
Alpiq,2026-03-01,0.17751075268817207
Alpiq,2026-02-01,0.18336506024096383
Alpiq,2026-01-01,0.18705
Alpiq,2025-12-01,0.18823709677419362
Alpiq,2025-11-01,0.18864999999999993
Alpiq,2025-10-01,0.18704999999999997
Alpiq,2025-09-01,0.18704999999999997
Alpiq,2025-08-01,0.18791276595744677
Alpiq,2025-07-01,0.19330000000000003
Alpiq,2025-06-01,0.1933
Alpiq,2025-05-01,0.1933
Alpiq,2025-04-01,0.1977433333333333
Alpiq,2025-03-01,0.19895
Alpiq,2025-02-01,0.19793333333333332
Alpiq,2025-01-01,0.20156666666666667
Alpiq,2024-12-01,0.2031
Alpiq,2024-11-01,0.20541794871794872
Alpiq,2024-10-01,0.21063333333333334
Alpiq,2024-09-01,0.21063333333333334
Alpiq,2024-08-01,0.21063333333333334
Alpiq,2024-07-01,0.21063333333333334
Alterna énergie,2026-06-01,0.19096486486486483
Alterna énergie,2026-05-01,0.192325
Alterna énergie,2026-04-01,0.192325
Alterna énergie,2026-03-01,0.191666935483871
Alterna énergie,2026-02-01,0.19143965517241379
Alterna énergie,2026-01-01,0.19045
Alterna énergie,2025-12-01,0.1946693548387097
Alterna énergie,2025-11-01,0.20037499999999997
Alterna énergie,2025-10-01,0.20055887096774191
Alterna énergie,2025-09-01,0.203225
Alterna énergie,2025-08-01,0.20341145833333329
Alterna énergie,2025-07-01,0.20895000000000002
Alterna énergie,2025-06-01,0.20800172413793103
Alterna énergie,2025-05-01,0.19519999999999998
Alterna énergie,2025-04-01,0.1952
Alterna énergie,2025-03-01,0.1952
Alterna énergie,2025-02-01,0.19463518518518524
Alterna énergie,2025-01-01,0.19725
Alterna énergie,2024-12-01,0.19725
Alterna énergie,2024-11-01,0.19725
Alterna énergie,2024-10-01,0.19725
Alterna énergie,2024-09-01,0.19725000000000004
Alterna énergie,2024-08-01,0.19725
Alterna énergie,2024-07-01,0.19724999999999998
DYNEFF,2026-06-01,0.1907
